Resp1,Resp2,HR1,HR2,Resp1S,Resp2S,HR1S,HR2S
-0.594563097586447,2.1671212106263402,-0.326037276886421,1.0056399386104,-0.594563097586447,2.1671212106263402,-0.326037276886421,1.0056399386104
-0.712143970234145,2.15569060623346,-0.326037276886421,1.0056399386104,-0.712143970234145,2.15569060623346,-0.326037276886421,1.0056399386104
-0.847292268316891,2.13723084922439,-0.326037276886421,1.0056399386104,-0.847292268316891,2.13723084922439,-0.326037276886421,1.0056399386104
-0.982606898795707,2.11690975854264,-0.326037276886421,1.0056399386104,-0.982606898795707,2.11690975854264,-0.326037276886421,1.0056399386104
-1.12974654382021,2.10201631801721,-0.326037276886421,0.821655937680485,-1.12974654382021,2.10201631801721,-0.326037276886421,0.821655937680485
-1.30092157855199,2.09930920202454,-0.380810594690332,0.533886090072151,-1.30092157855199,2.09930920202454,-0.380810594690332,0.533886090072151
-1.49567351347688,2.1027357945105,-0.385573491890673,0.533886090072151,-1.49567351347688,2.1027357945105,-0.385573491890673,0.533886090072151
-1.66745903111924,2.09881178167579,-0.385573491890673,0.533886090072151,-1.66745903111924,2.09881178167579,-0.385573491890673,0.533886090072151
-1.78112248905947,2.09073819946941,-0.385573491890673,0.533886090072151,-1.78112248905947,2.09073819946941,-0.385573491890673,0.533886090072151
-1.83655670327509,2.07771207245372,-0.385573491890673,0.533886090072151,-1.83655670327509,2.07771207245372,-0.385573491890673,0.533886090072151
-1.85009522828031,2.0591895271555,-0.385573491890673,0.633591903465912,-1.85009522828031,2.0591895271555,-0.385573491890673,0.633591903465912
-1.83898608829271,2.03607293557231,-0.385573491890673,0.678387268903687,-1.83898608829271,2.03607293557231,-0.385573491890673,0.678387268903687
-1.82566551608234,2.00807650524751,-0.385995728111517,0.678387268903687,-1.82566551608234,2.00807650524751,-0.385995728111517,0.678387268903687
-1.81509229620709,1.98140191061268,-0.427797113975172,0.678387268903687,-1.81509229620709,1.98140191061268,-0.427797113975172,0.678387268903687
-1.81887707516769,1.96325303220597,-0.427797113975172,0.678387268903687,-1.81887707516769,1.96325303220597,-0.427797113975172,0.678387268903687
-1.83619966218353,1.94762764503924,-0.427797113975172,0.680147098075077,-1.83619966218353,1.94762764503924,-0.427797113975172,0.680147098075077
-1.82860536948791,1.9248519770934,-0.427797113975172,0.766378727473219,-1.82860536948791,1.9248519770934,-0.427797113975172,0.766378727473219
-1.75855469596753,1.88671177414144,-0.427797113975172,0.766378727473219,-1.75855469596753,1.88671177414144,-0.427797113975172,0.766378727473219
-1.6233293257616,1.82204997287361,-0.427797113975172,0.766378727473219,-1.6233293257616,1.82204997287361,-0.427797113975172,0.766378727473219
-1.49630622183694,1.73463058902081,-0.427797113975172,0.766378727473219,-1.49630622183694,1.73463058902081,-0.427797113975172,0.766378727473219
-1.44819995339822,1.6428249217585,-0.409384030652766,0.766378727473219,-1.44819995339822,1.6428249217585,-0.409384030652766,0.766378727473219
-1.47397681461437,1.511492166895,-0.362036102109439,0.907462563611473,-1.47397681461437,1.511492166895,-0.362036102109439,0.907462563611473
-1.52663356459559,1.33284519100413,-0.362036102109439,1.06655710223546,-1.52663356459559,1.33284519100413,-0.362036102109439,1.06655710223546
-1.55314601649436,1.1368820654798,-0.362036102109439,1.06655710223546,-1.55314601649436,1.1368820654798,-0.362036102109439,1.06655710223546
-1.54799114611612,0.958905195964033,-0.362036102109439,1.06655710223546,-1.54799114611612,0.958905195964033,-0.362036102109439,1.06655710223546
-1.52080476123327,0.837013145323907,-0.362036102109439,1.06655710223546,-1.52080476123327,0.837013145323907,-0.362036102109439,1.06655710223546
-1.48919336105494,0.783126718741662,-0.362036102109439,1.06966749798025,-1.48919336105494,0.783126718741662,-0.362036102109439,1.06966749798025
-1.46592940952945,0.775646234277005,-0.362036102109439,1.3775966767138,-1.46592940952945,0.775646234277005,-0.362036102109439,1.3775966767138
-1.46953602641926,0.76418609532303,-0.294004322242138,1.3775966767138,-1.46953602641926,0.76418609532303,-0.294004322242138,1.3775966767138
-1.49240099527918,0.718193855835323,-0.272520602284044,1.3775966767138,-1.49240099527918,0.718193855835323,-0.272520602284044,1.3775966767138
-1.52932678720698,0.630197855255136,-0.272520602284044,1.3775966767138,-1.52932678720698,0.630197855255136,-0.272520602284044,1.3775966767138
-1.67129937370353,0.512376104683201,-0.272520602284044,1.3775966767138,-1.67129937370353,0.512376104683201,-0.272520602284044,1.3775966767138
-1.85719876871252,0.417154491961895,-0.272520602284044,1.51910866449304,-1.85719876871252,0.417154491961895,-0.272520602284044,1.51910866449304
-2.01396812743457,0.383143439425785,-0.272520602284044,1.60221887953799,-2.01396812743457,0.383143439425785,-0.272520602284044,1.60221887953799
-2.14650242587906,0.459353910406037,-0.272520602284044,1.60221887953799,-2.14650242587906,0.459353910406037,-0.272520602284044,1.60221887953799
-2.23500488263859,0.655145954250539,-0.243943416443983,1.60221887953799,-2.23500488263859,0.655145954250539,-0.243943416443983,1.60221887953799
-2.27666397835459,0.920773525218605,-0.195284964878474,1.60221887953799,-2.27666397835459,0.920773525218605,-0.195284964878474,1.60221887953799
-2.25958049415811,1.18856411993159,-0.195284964878474,1.78448397755632,-2.25958049415811,1.18856411993159,-0.195284964878474,1.78448397755632
-2.20454992278295,1.40823613260758,-0.195284964878474,2.06956528471319,-2.20454992278295,1.40823613260758,-0.195284964878474,2.06956528471319
-2.13833098844707,1.51001893923259,1.87007780562353,2.06956528471319,-2.13833098844707,1.51001893923259,1.87007780562353,2.06956528471319
-2.07993397842643,1.411860788965,2.71367668371589,2.06956528471319,-2.07993397842643,1.411860788965,2.71367668371589,2.06956528471319
-2.02302213029571,1.17447307144505,2.71367668371589,2.06956528471319,-2.02302213029571,1.17447307144505,2.71367668371589,2.06956528471319
-1.97434481119548,0.918165076537441,2.71367668371589,2.06240318924823,-1.97434481119548,0.918165076537441,2.71367668371589,2.06240318924823
-1.94271835506751,0.708760152396798,2.82939751257342,1.96724963521374,-1.94271835506751,0.708760152396798,2.82939751257342,1.96724963521374
-1.90201746300388,0.526245753348779,2.86015874556087,1.96724963521374,-1.90201746300388,0.526245753348779,2.86015874556087,1.96724963521374
-1.84526692861935,0.348949783084771,2.86015874556087,1.96724963521374,-1.84526692861935,0.348949783084771,2.86015874556087,1.96724963521374
