"","Study","Group","Trial","Condition","Resp_RR","Resp_DET","Resp_LMAX","Resp_L","Resp_ENTR","Resp_LAM","Resp_TT","HR_RR","HR_DET","HR_LMAX","HR_L","HR_ENTR","HR_LAM","HR_TT","Type"
"187","2","Group7&8",NA,"Synchronous",3.28875203414027,65.9280994656186,18,2.95280349177419,1.34635733873288,77.2513091808651,3.66770896888347,25.690565901581,96.9736868758482,144,12.0235583684951,3.11591094047228,97.5825281395804,20.6060740001426,"Surrogate"
"188","2","Group7&8",NA,"TurnTaking",3.03082278321634,80.3132861932125,37,3.16702561517665,1.46231807744667,93.4710738999832,4.32189775139027,16.3667748461742,96.6775197347781,70,9.88935026074135,2.82768553333792,97.2439142268461,17.8284981442978,"Surrogate"
"189","2","Group7&8",NA,"Synchronous",4.9839672501875,88.4811888744417,45,3.92993000847431,1.86384453289691,94.0192351178699,5.66766773162939,25.1937230790794,99.0658703579258,170,13.0965583783144,3.37327266792618,99.5684977911934,19.5060564368188,"Surrogate"
"190","2","Group7&8",NA,"TurnTaking",5.01702065388684,89.2671489394562,68,4.17586982578855,1.91060088684267,97.7100817476948,8.28675616944006,20.9204099152772,99.1214905225452,121,12.5111199489267,3.29351795346091,99.6814314853817,17.6422470722902,"Surrogate"
"191","2","Group7&8",NA,"Synchronous",3.85400573970506,81.6588000383812,35,3.28600584698549,1.55777613325328,94.4022809414366,4.76621758789333,28.4424909029817,99.3208928962408,169,13.9392108191389,3.14803625172741,99.8850366510475,30.014991294786,"Surrogate"
"192","2","Group7&8",NA,"TurnTaking",3.1765606463041,76.5736998785944,37,2.96796304254405,1.33729264719786,89.7154451263118,3.91501560345453,22.084196835242,99.4309211301459,140,14.2032538569425,3.01052296650594,99.7868997965612,33.9161438449422,"Surrogate"
"193","2","Group7&8",NA,"Synchronous",3.94201901178247,71.2184226396551,23,3.31267921705523,1.57186527198817,92.4138393156284,5.28721854473893,22.1988582086355,96.292157659488,117,9.65638027771682,3.03342163011381,99.4654299377989,17.587274611399,"Surrogate"
"194","2","Group7&8",NA,"TurnTaking",3.89871676367556,89.4004408390395,43,3.91853259686009,1.84395418976444,97.3554174420495,7.56921618204804,20.5027892549977,97.2870142011684,97,10.8559034006155,3.18330285544001,99.5789990227972,18.9013634392715,"Surrogate"
"195","2","Group7&9",NA,"Synchronous",4.12940381133744,83.5941764465066,30,3.40605018070614,1.61930922348615,94.5508665393013,5.28101181402439,23.8435637240557,98.6342280365564,91,9.3249948414609,2.93033270577541,99.5539579231943,13.6575343832964,"Surrogate"
"196","2","Group7&9",NA,"TurnTaking",2.8494252810816,74.4799456152277,19,2.84699156646429,1.25628328265069,88.9994437921019,3.88827388827389,20.2437516923828,98.8702772550754,75,9.22855680327607,2.87596396723413,99.6225402994999,13.369291981463,"Surrogate"
